Año;Trimestre;Provincia;Mbps (Media de bajada);Trimestre proximo
2019;1;Capital Federal;24.715063293849774;30.346259857091994
2019;1;Catamarca;7.964005155271879;8.81
2019;1;Chaco;13.444236269077935;16.01024333099657
2019;1;Chubut;5.891730569196159;6.054406893543786
2019;1;Córdoba;15.73486422864591;18.43151783191278
2019;1;Corrientes;12.049695550812029;13.833035083816176
2019;1;Entre Ríos;10.659197328953976;12.193357817950574
2019;1;Formosa;9.825089957835713;10.836611219480826
2019;1;Jujuy;8.560464217465055;12.073382280507326
2019;1;La Pampa;5.057861842867403;5.492288321417966
2019;1;La Rioja;7.092792286992043;7.894163486005089
2019;1;Mendoza;5.742764175317399;6.02629690452623
2019;1;Misiones;12.512773459683503;14.50130254739236
2019;1;Neuquén;15.884653263915219;17.242865250195976
2019;1;Río Negro;10.488420648136287;11.628050204319907
2019;1;Salta;10.377100013969459;12.548748750601563
2019;1;San Juan;5.839263189429536;6.118522013069041
2019;1;San Luis;8.708555188754593;19.875972848399364
2019;1;Santa Cruz;5.779992970397563;6.008047317560813
2019;1;Santa Fe;12.986963477266004;15.074549058890282
2019;1;Santiago Del Estero;6.415070737969083;7.103112882966522
2019;1;Tierra Del Fuego;6.341101450612301;6.34
2019;1;Tucumán;16.573299964579572;18.529317885920335
2018;4;Buenos Aires;16.934363010150058;19.643958224230506
2018;4;Capital Federal;22.93530199223472;24.715063293849774
2018;4;Catamarca;8.043920202659912;7.964005155271879
2018;4;Chaco;13.492083570210347;13.444236269077935
2018;4;Chubut;6.085223903684034;5.891730569196159
2018;4;Córdoba;15.813667433629776;15.73486422864591
2018;4;Corrientes;12.138923393387724;12.049695550812029
2018;4;Entre Ríos;11.023282490376955;10.659197328953976
2018;4;Formosa;9.816893711913803;9.825089957835713
2018;4;Jujuy;8.562737601752614;8.560464217465055
2018;4;La Pampa;4.319094957943483;5.057861842867403
2018;4;La Rioja;7.0933821251548945;7.092792286992043
2018;4;Mendoza;5.746675102434321;5.742764175317399
2018;4;Misiones;12.495112674155788;12.512773459683503
2018;4;Neuquén;15.89123364607043;15.884653263915219
2018;4;Río Negro;10.487005565275494;10.488420648136287
2018;4;Salta;10.45728408913591;10.377100013969459
2018;4;San Juan;5.715266539357845;5.839263189429536
2018;4;San Luis;8.818992791900516;8.708555188754593
2018;4;Santa Cruz;5.1195073647728675;5.779992970397563
2018;4;Santa Fe;13.179234899969483;12.986963477266004
2018;4;Santiago Del Estero;6.309255243851745;6.415070737969083
2018;4;Tierra Del Fuego;7.436562008214025;6.341101450612301
2018;4;Tucumán;16.58323444553027;16.573299964579572
2018;3;Buenos Aires;16.77973513236217;16.934363010150058
2018;3;Capital Federal;21.643368364061413;22.93530199223472
2018;3;Catamarca;7.806521941530631;8.043920202659912
2018;3;Chaco;12.89496189060927;13.492083570210347
2018;3;Chubut;6.076722322942862;6.085223903684034
2018;3;Córdoba;14.8182495375679;15.813667433629776
